35.0333 	EXP 	New trial (rep=0, index=20): {'words': u'"words\\arg2clean\\21.png"'}
35.0521 	EXP 	text_image: autoDraw = False
35.0521 	EXP 	text_image: autoDraw = False
35.0521 	EXP 	text_image: image = u'words\\arg2clean\\21.png'
35.0521 	EXP 	text_image: autoDraw = True
36.0204 	EXP 	New trial (rep=0, index=21): {'words': u'"words\\arg2clean\\22.png"'}
36.0392 	EXP 	text_image: autoDraw = False
36.0392 	EXP 	text_image: autoDraw = False
36.0392 	EXP 	text_image: image = u'words\\arg2clean\\22.png'
36.0392 	EXP 	text_image: autoDraw = True
37.0263 	EXP 	New trial (rep=0, index=22): {'words': u'"words\\arg2clean\\23.png"'}
37.0459 	EXP 	text_image: autoDraw = False
37.0459 	EXP 	text_image: image = u'words\\arg2clean\\23.png'
37.0459 	EXP 	text_image: autoDraw = True
38.0140 	EXP 	New trial (rep=0, index=23): {'words': u'"words\\arg2clean\\24.png"'}
38.0325 	EXP 	text_image: autoDraw = False
38.0325 	EXP 	text_image: autoDraw = False
38.0325 	EXP 	text_image: image = u'words\\arg2clean\\24.png'
38.0325 	EXP 	text_image: autoDraw = True
39.0196 	EXP 	New trial (rep=0, index=24): {'words': u'"words\\arg2clean\\25.png"'}
39.0392 	EXP 	text_image: autoDraw = False
39.0392 	EXP 	text_image: image = u'words\\arg2clean\\25.png'
39.0392 	EXP 	text_image: autoDraw = True
40.0076 	EXP 	New trial (rep=0, index=25): {'words': u'"words\\arg2clean\\26.png"'}
40.0261 	EXP 	text_image: autoDraw = False
40.0261 	EXP 	text_image: autoDraw = False
40.0261 	EXP 	text_image: image = u'words\\arg2clean\\26.png'
40.0261 	EXP 	text_image: autoDraw = True
41.0141 	EXP 	New trial (rep=0, index=26): {'words': u'"words\\arg2clean\\27.png"'}
41.0328 	EXP 	text_image: autoDraw = False
41.0328 	EXP 	text_image: image = u'words\\arg2clean\\27.png'
41.0328 	EXP 	text_image: autoDraw = True
42.0008 	EXP 	New trial (rep=0, index=27): {'words': u'"words\\arg2clean\\28.png"'}
42.0200 	EXP 	text_image: autoDraw = False
42.0200 	EXP 	text_image: autoDraw = False
42.0200 	EXP 	text_image: image = u'words\\arg2clean\\28.png'
42.0200 	EXP 	text_image: autoDraw = True
42.9876 	EXP 	New trial (rep=0, index=28): {'words': u'"words\\arg2clean\\29.png"'}
43.0068 	EXP 	text_image: autoDraw = False
43.0068 	EXP 	text_image: autoDraw = False
43.0068 	EXP 	text_image: image = u'words\\arg2clean\\29.png'
43.0068 	EXP 	text_image: autoDraw = True
43.9746 	EXP 	New trial (rep=0, index=29): {'words': u'"words\\arg2clean\\30.png"'}
43.9932 	EXP 	text_image: autoDraw = False
43.9932 	EXP 	text_image: autoDraw = False
