29.4483 	EXP 	Set question_text text="This was a well formed argument."
29.9409 	EXP 	TextStim: autoDraw = True
30.2412 	DATA 	Keypress: 5
30.2435 	EXP 	New trial (rep=0, index=2): {'question': u'"This argument was convincing."'}
30.2722 	EXP 	TextStim: autoDraw = False
30.2722 	EXP 	Set question_text text="This argument was convincing."
30.7738 	EXP 	TextStim: autoDraw = True
31.9572 	DATA 	Keypress: 9
31.9590 	EXP 	New trial (rep=0, index=3): {'question': u'"This argument might be wrong but it was well argued nonetheless."'}
31.9978 	EXP 	TextStim: autoDraw = False
31.9978 	EXP 	Set question_text text="This argument might be wrong but it was well argued nonetheless."
32.4905 	EXP 	TextStim: autoDraw = True
35.3399 	DATA 	Keypress: 0
35.3402 	DATA 	Keypress: 9
35.3425 	EXP 	New trial (rep=0, index=4): {'question': u'"There were logical flaws in this argument."'}
35.3825 	EXP 	TextStim: autoDraw = False
35.3825 	EXP 	Set question_text text="There were logical flaws in this argument."
35.8725 	EXP 	TextStim: autoDraw = True
37.4394 	DATA 	Keypress: 1
37.4557 	EXP 	TextStim: autoDraw = False
37.9720 	EXP 	TextStim: autoDraw = True
38.3888 	DATA 	Keypress: 6
38.3890 	DATA 	Keypress: 5
38.5222 	DATA 	Keypress: 7
38.5854 	DATA 	Keypress: 6
38.6044 	DATA 	Keypress: 5
39.4384 	DATA 	Keypress: space
39.4398 	EXP 	New trial (rep=0, index=1): {'argument': u'"arg2clean.csv"'}
39.4470 	EXP 	Imported arg2clean.csv as conditions, 49 conditions, 1 params
39.4504 	EXP 	Created sequence: sequential, trialTypes=49, nReps=1, seed=None
39.4526 	EXP 	New trial (rep=0, index=0): {'words': u'"words\\arg2clean\\1.png"'}
39.4635 	EXP 	TextStim: autoDraw = False
39.4635 	EXP 	Set text_image image=words\arg2clean\1.png
39.4635 	EXP 	ImageStim: autoDraw = True
40.4556 	EXP 	New trial (rep=0, index=1): {'words': u'"words\\arg2clean\\2.png"'}
40.4721 	EXP 	ImageStim: autoDraw = False
40.4721 	EXP 	Set text_image image=words\arg2clean\2.png
40.4721 	EXP 	ImageStim: autoDraw = True
41.4560 	EXP 	New trial (rep=0, index=2): {'words': u'"words\\arg2clean\\3.png"'}
41.4737 	EXP 	ImageStim: autoDraw = False
41.4737 	EXP 	ImageStim: autoDraw = False
41.4737 	EXP 	Set text_image image=words\arg2clean\3.png
41.4737 	EXP 	ImageStim: autoDraw = True
42.4554 	EXP 	New trial (rep=0, index=3): {'words': u'"words\\arg2clean\\4.png"'}
42.4726 	EXP 	ImageStim: autoDraw = False
42.4726 	EXP 	ImageStim: autoDraw = False
42.4726 	EXP 	Set text_image image=words\arg2clean\4.png
42.4726 	EXP 	ImageStim: autoDraw = True
43.4549 	EXP 	New trial (rep=0, index=4): {'words': u'"words\\arg2clean\\5.png"'}
43.4704 	EXP 	ImageStim: autoDraw = False
43.4704 	EXP 	ImageStim: autoDraw = False
43.4704 	EXP 	Set text_image image=words\arg2clean\5.png
43.4704 	EXP 	ImageStim: autoDraw = True
44.4543 	EXP 	New trial (rep=0, index=5): {'words': u'"words\\arg2clean\\6.png"'}
44.4702 	EXP 	ImageStim: autoDraw = False
44.4702 	EXP 	ImageStim: autoDraw = False
44.4702 	EXP 	Set text_image image=words\arg2clean\6.png
44.4702 	EXP 	ImageStim: autoDraw = True
45.4538 	EXP 	New trial (rep=0, index=6): {'words': u'"words\\arg2clean\\7.png"'}
45.4692 	EXP 	ImageStim: autoDraw = False
45.4692 	EXP 	ImageStim: autoDraw = False
45.4692 	EXP 	Set text_image image=words\arg2clean\7.png
45.4692 	EXP 	ImageStim: autoDraw = True
46.4529 	EXP 	New trial (rep=0, index=7): {'words': u'"words\\arg2clean\\8.png"'}
46.4682 	EXP 	ImageStim: autoDraw = False
46.4682 	EXP 	ImageStim: autoDraw = False
46.4682 	EXP 	Set text_image image=words\arg2clean\8.png
46.4682 	EXP 	ImageStim: autoDraw = True
47.4540 	EXP 	New trial (rep=0, index=8): {'words': u'"words\\arg2clean\\9.png"'}
47.4882 	EXP 	ImageStim: autoDraw = False
47.4882 	EXP 	ImageStim: autoDraw = False
47.4882 	EXP 	Set text_image image=words\arg2clean\9.png
47.4882 	EXP 	ImageStim: autoDraw = True
48.4542 	EXP 	New trial (rep=0, index=9): {'words': u'"words\\arg2clean\\10.png"'}
48.4674 	EXP 	ImageStim: autoDraw = False
48.4674 	EXP 	ImageStim: autoDraw = False
48.4674 	EXP 	Set text_image image=words\arg2clean\10.png
48.4674 	EXP 	ImageStim: autoDraw = True
49.4526 	EXP 	New trial (rep=0, index=10): {'words': u'"words\\arg2clean\\11.png"'}
49.4678 	EXP 	ImageStim: autoDraw = False
49.4678 	EXP 	ImageStim: autoDraw = False
49.4678 	EXP 	Set text_image image=words\arg2clean\11.png
49.4678 	EXP 	ImageStim: autoDraw = True
50.4532 	EXP 	New trial (rep=0, index=11): {'words': u'"words\\arg2clean\\12.png"'}
50.4685 	EXP 	ImageStim: autoDraw = False
50.4685 	EXP 	ImageStim: autoDraw = False
50.4685 	EXP 	Set text_image image=words\arg2clean\12.png
50.4685 	EXP 	ImageStim: autoDraw = True
51.4529 	EXP 	New trial (rep=0, index=12): {'words': u'"words\\arg2clean\\13.png"'}
51.4781 	EXP 	ImageStim: autoDraw = False
51.4781 	EXP 	ImageStim: autoDraw = False
51.4781 	EXP 	Set text_image image=words\arg2clean\13.png
51.4781 	EXP 	ImageStim: autoDraw = True
52.4531 	EXP 	New trial (rep=0, index=13): {'words': u'"words\\arg2clean\\14.png"'}
52.4680 	EXP 	ImageStim: autoDraw = False
52.4680 	EXP 	ImageStim: autoDraw = False
52.4680 	EXP 	Set text_image image=words\arg2clean\14.png
52.4680 	EXP 	ImageStim: autoDraw = True
53.3011 	DATA 	Keypress: escape
